recommendation_id,recommendation_type,product_id,product_name,store_id,priority,action,reason,evidence,suggested_quantity,source_agent,status
REC00020,clearance,P112,Bananas,S1,high,Plan clearance for the affected stock.,Stock has weak recent movement or may exceed shelf life.,"stock=30, recent_30_day_sales=172, shelf_life_days=4, days_of_stock=4.57",,pricing_agent,pending
REC00021,clearance,P114,Tomatoes,S1,high,Plan clearance for the affected stock.,Stock has weak recent movement or may exceed shelf life.,"stock=20, recent_30_day_sales=7, shelf_life_days=3, days_of_stock=140.0",,pricing_agent,pending
REC00022,clearance,P114,Tomatoes,S2,high,Plan clearance for the affected stock.,Stock has weak recent movement or may exceed shelf life.,"stock=8, recent_30_day_sales=7, shelf_life_days=3, days_of_stock=56.0",,pricing_agent,pending
REC00023,clearance,P114,Tomatoes,S3,high,Plan clearance for the affected stock.,Stock has weak recent movement or may exceed shelf life.,"stock=6, recent_30_day_sales=7, shelf_life_days=3, days_of_stock=21.0",,pricing_agent,pending
REC00024,clearance,P115,Potatoes,S1,high,Plan clearance for the affected stock.,Stock has weak recent movement or may exceed shelf life.,"stock=90, recent_30_day_sales=163, shelf_life_days=15, days_of_stock=15.75",,pricing_agent,pending
REC00025,stock_transfer,P101,Milk,S3,medium,Transfer 2 units from S1 to S3.,One store is below reorder point while another store has surplus stock.,"source_store=Hyderabad Central, destination_store=Guntur Branch, source_surplus=25.0, destination_stock=18.0, destination_threshold=20.0",2,transfer_agent,pending
REC00026,stock_transfer,P111,Cheese,S3,medium,Transfer 2 units from S1 to S3.,One store is below reorder point while another store has surplus stock.,"source_store=Hyderabad Central, destination_store=Guntur Branch, source_surplus=40.0, destination_stock=18.0, destination_threshold=20.0",2,transfer_agent,pending
REC00027,stock_transfer,P114,Tomatoes,S2,medium,Transfer 2 units from S1 to S2.,One store is below reorder point while another store has surplus stock.,"source_store=Hyderabad Central, destination_store=Vijayawada Branch, source_surplus=5.0, destination_stock=8.0, destination_threshold=10.0",2,transfer_agent,pending
REC00028,stock_transfer,P114,Tomatoes,S3,medium,Transfer 4 units from S1 to S3.,One store is below reorder point while another store has surplus stock.,"source_store=Hyderabad Central, destination_store=Guntur Branch, source_surplus=5.0, destination_stock=6.0, destination_threshold=10.0",4,transfer_agent,pending
REC00029,stock_transfer,P118,Ice Cream,S3,medium,Transfer 1 units from S1 to S3.,One store is below reorder point while another store has surplus stock.,"source_store=Hyderabad Central, destination_store=Guntur Branch, source_surplus=10.0, destination_stock=9.0, destination_threshold=10.0",1,transfer_agent,pending
REC00030,supplier_risk_alert,P103,Rice 1kg,,medium,Review supplier performance before placing the next replenishment order.,Supplier reliability or delivery time crosses the configured risk threshold.,"supplier_id=SUP3, supplier_name=Grain & Grocery Wholesale, reliability_score=0.9, avg_delivery_days=4.0",,risk_agent,pending
REC00031,supplier_risk_alert,P104,Cooking Oil 1L,,medium,Review supplier performance before placing the next replenishment order.,Supplier reliability or delivery time crosses the configured risk threshold.,"supplier_id=SUP3, supplier_name=Grain & Grocery Wholesale, reliability_score=0.9, avg_delivery_days=4.0",,risk_agent,pending
REC00032,supplier_risk_alert,P112,Bananas,,high,Review supplier performance before placing the next replenishment order.,Supplier reliability or delivery time crosses the configured risk threshold.,"supplier_id=SUP4, supplier_name=Farm Fresh Produce, reliability_score=0.88, avg_delivery_days=2.0",,risk_agent,pending
REC00033,supplier_risk_alert,P113,Apples,,high,Review supplier performance before placing the next replenishment order.,Supplier reliability or delivery time crosses the configured risk threshold.,"supplier_id=SUP4, supplier_name=Farm Fresh Produce, reliability_score=0.88, avg_delivery_days=2.0",,risk_agent,pending
REC00034,supplier_risk_alert,P114,Tomatoes,,high,Review supplier performance before placing the next replenishment order.,Supplier reliability or delivery time crosses the configured risk threshold.,"supplier_id=SUP4, supplier_name=Farm Fresh Produce, reliability_score=0.88, avg_delivery_days=2.0",,risk_agent,pending
REC00035,supplier_risk_alert,P115,Potatoes,,high,Review supplier performance before placing the next replenishment order.,Supplier reliability or delivery time crosses the configured risk threshold.,"supplier_id=SUP4, supplier_name=Farm Fresh Produce, reliability_score=0.88, avg_delivery_days=2.0",,risk_agent,pending
REC00036,supplier_risk_alert,P118,Ice Cream,,high,Review supplier performance before placing the next replenishment order.,Supplier reliability or delivery time crosses the configured risk threshold.,"supplier_id=SUP6, supplier_name=Frozen Foods Distributor, reliability_score=0.86, avg_delivery_days=5.0",,risk_agent,pending
REC00037,supplier_risk_alert,P119,Tea Powder,,medium,Review supplier performance before placing the next replenishment order.,Supplier reliability or delivery time crosses the configured risk threshold.,"supplier_id=SUP3, supplier_name=Grain & Grocery Wholesale, reliability_score=0.9, avg_delivery_days=4.0",,risk_agent,pending
REC00038,supplier_risk_alert,P120,Coffee Powder,,medium,Review supplier performance before placing the next replenishment order.,Supplier reliability or delivery time crosses the configured risk threshold.,"supplier_id=SUP3, supplier_name=Grain & Grocery Wholesale, reliability_score=0.9, avg_delivery_days=4.0",,risk_agent,pending
REC00039,overstock_alert,P102,Bread,S3,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=8, reorder_threshold=15, days_of_stock=56.0",,risk_agent,pending
REC00040,overstock_alert,P103,Rice 1kg,S1,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=220, reorder_threshold=30, days_of_stock=85.56",,risk_agent,pending
REC00041,overstock_alert,P103,Rice 1kg,S2,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=90, reorder_threshold=30, days_of_stock=39.38",,risk_agent,pending
REC00042,overstock_alert,P103,Rice 1kg,S3,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=70, reorder_threshold=30, days_of_stock=70.0",,risk_agent,pending
REC00043,overstock_alert,P104,Cooking Oil 1L,S2,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=35, reorder_threshold=10, days_of_stock=5.21",,risk_agent,pending
REC00044,overstock_alert,P105,Eggs (12 pack),S1,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=150, reorder_threshold=25, days_of_stock=19.44",,risk_agent,pending
REC00045,overstock_alert,P105,Eggs (12 pack),S2,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=80, reorder_threshold=25, days_of_stock=14.0",,risk_agent,pending
REC00046,overstock_alert,P106,Biscuits Pack,S1,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=300, reorder_threshold=40, days_of_stock=150.0",,risk_agent,pending
REC00047,overstock_alert,P106,Biscuits Pack,S2,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=120, reorder_threshold=40, days_of_stock=84.0",,risk_agent,pending
REC00048,overstock_alert,P106,Biscuits Pack,S3,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=100, reorder_threshold=40, days_of_stock=87.5",,risk_agent,pending
REC00049,overstock_alert,P108,Chocolates,S1,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=80, reorder_threshold=20, days_of_stock=17.5",,risk_agent,pending
REC00050,overstock_alert,P110,Butter,S1,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=60, reorder_threshold=20, days_of_stock=10.0",,risk_agent,pending
REC00051,overstock_alert,P111,Cheese,S1,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=70, reorder_threshold=20, days_of_stock=11.4",,risk_agent,pending
REC00052,overstock_alert,P112,Bananas,S1,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=30, reorder_threshold=10, days_of_stock=4.57",,risk_agent,pending
REC00053,overstock_alert,P113,Apples,S1,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=45, reorder_threshold=15, days_of_stock=9.55",,risk_agent,pending
REC00054,overstock_alert,P114,Tomatoes,S1,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=20, reorder_threshold=10, days_of_stock=140.0",,risk_agent,pending
REC00055,overstock_alert,P114,Tomatoes,S2,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=8, reorder_threshold=10, days_of_stock=56.0",,risk_agent,pending
REC00056,overstock_alert,P115,Potatoes,S1,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=90, reorder_threshold=25, days_of_stock=15.75",,risk_agent,pending
REC00057,overstock_alert,P116,Noodles Pack,S1,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=120, reorder_threshold=30, days_of_stock=52.5",,risk_agent,pending
REC00058,overstock_alert,P117,Chips,S1,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=110, reorder_threshold=25, days_of_stock=85.56",,risk_agent,pending
REC00059,overstock_alert,P117,Chips,S2,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=40, reorder_threshold=25, days_of_stock=70.0",,risk_agent,pending
REC00060,overstock_alert,P119,Tea Powder,S1,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=140, reorder_threshold=20, days_of_stock=27.22",,risk_agent,pending
REC00061,overstock_alert,P119,Tea Powder,S2,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=60, reorder_threshold=20, days_of_stock=12.35",,risk_agent,pending
REC00062,overstock_alert,P120,Coffee Powder,S1,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=130, reorder_threshold=15, days_of_stock=20.68",,risk_agent,pending
REC00063,overstock_alert,P120,Coffee Powder,S2,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=55, reorder_threshold=15, days_of_stock=13.28",,risk_agent,pending
REC00064,overstock_alert,P120,Coffee Powder,S3,medium,Review replenishment and sell-through plan for this stock.,stock is high compared with reorder point or sales velocity,"stock=50, reorder_threshold=15, days_of_stock=12.96",,risk_agent,pending
REC00065,stockout_prevention_alert,P101,Milk,S1,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=4.64, recent_daily_velocity=11.86",,risk_agent,pending
REC00066,stockout_prevention_alert,P101,Milk,S2,high,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=2.3, recent_daily_velocity=9.57",,risk_agent,pending
REC00067,stockout_prevention_alert,P101,Milk,S3,high,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=2.21, recent_daily_velocity=8.14",,risk_agent,pending
REC00068,stockout_prevention_alert,P104,Cooking Oil 1L,S1,high,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=1.58, recent_daily_velocity=7.57",,risk_agent,pending
REC00069,stockout_prevention_alert,P104,Cooking Oil 1L,S2,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=5.21, recent_daily_velocity=6.71",,risk_agent,pending
REC00070,stockout_prevention_alert,P104,Cooking Oil 1L,S3,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=6.12, recent_daily_velocity=4.57",,risk_agent,pending
REC00071,stockout_prevention_alert,P107,Soft Drink 1L,S1,high,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=1.84, recent_daily_velocity=10.86",,risk_agent,pending
REC00072,stockout_prevention_alert,P107,Soft Drink 1L,S2,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=4.77, recent_daily_velocity=9.43",,risk_agent,pending
REC00073,stockout_prevention_alert,P107,Soft Drink 1L,S3,high,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=2.92, recent_daily_velocity=8.57",,risk_agent,pending
REC00074,stockout_prevention_alert,P108,Chocolates,S2,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=6.45, recent_daily_velocity=5.43",,risk_agent,pending
REC00075,stockout_prevention_alert,P108,Chocolates,S3,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=6.18, recent_daily_velocity=4.86",,risk_agent,pending
REC00076,stockout_prevention_alert,P109,Curd,S2,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=3.82, recent_daily_velocity=4.71",,risk_agent,pending
REC00077,stockout_prevention_alert,P109,Curd,S3,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=4.04, recent_daily_velocity=3.71",,risk_agent,pending
REC00078,stockout_prevention_alert,P110,Butter,S2,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=6.77, recent_daily_velocity=4.43",,risk_agent,pending
REC00079,stockout_prevention_alert,P110,Butter,S3,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=5.65, recent_daily_velocity=4.43",,risk_agent,pending
REC00080,stockout_prevention_alert,P111,Cheese,S2,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=5.13, recent_daily_velocity=4.29",,risk_agent,pending
REC00081,stockout_prevention_alert,P111,Cheese,S3,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=4.34, recent_daily_velocity=4.14",,risk_agent,pending
REC00082,stockout_prevention_alert,P112,Bananas,S1,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=4.57, recent_daily_velocity=6.57",,risk_agent,pending
REC00083,stockout_prevention_alert,P112,Bananas,S2,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=3.18, recent_daily_velocity=4.71",,risk_agent,pending
REC00084,stockout_prevention_alert,P112,Bananas,S3,high,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=2.8, recent_daily_velocity=3.57",,risk_agent,pending
REC00085,stockout_prevention_alert,P113,Apples,S2,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=3.68, recent_daily_velocity=5.43",,risk_agent,pending
REC00086,stockout_prevention_alert,P113,Apples,S3,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=3.03, recent_daily_velocity=5.29",,risk_agent,pending
REC00087,stockout_prevention_alert,P115,Potatoes,S2,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=7.0, recent_daily_velocity=5.0",,risk_agent,pending
REC00088,stockout_prevention_alert,P118,Ice Cream,S1,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=4.73, recent_daily_velocity=5.29",,risk_agent,pending
REC00089,stockout_prevention_alert,P118,Ice Cream,S2,medium,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=3.11, recent_daily_velocity=3.86",,risk_agent,pending
REC00090,stockout_prevention_alert,P118,Ice Cream,S3,high,Take replenishment action before projected stockout.,current stock may not cover recent sales velocity,"days_of_stock=2.17, recent_daily_velocity=4.14",,risk_agent,pending
REC00091,reorder,P101,Milk,S3,high,Reorder 59 units.,Stock is below the reorder point after recent demand is considered.,"stock=18, reorder_threshold=20, supplier_name=Fresh Dairy Suppliers, reliability_score=0.95, avg_delivery_days=2.0",59,procurement_agent,pending
REC00092,reorder,P102,Bread,S1,low,Reorder 13 units.,Stock is below the reorder point after recent demand is considered.,"stock=5, reorder_threshold=15, supplier_name=Daily Bakery Distributors, reliability_score=0.92, avg_delivery_days=1.0",13,procurement_agent,pending
REC00093,reorder,P102,Bread,S2,low,Reorder 7 units.,Stock is below the reorder point after recent demand is considered.,"stock=10, reorder_threshold=15, supplier_name=Daily Bakery Distributors, reliability_score=0.92, avg_delivery_days=1.0",7,procurement_agent,pending
REC00094,reorder,P102,Bread,S3,low,Reorder 8 units.,Stock is below the reorder point after recent demand is considered.,"stock=8, reorder_threshold=15, supplier_name=Daily Bakery Distributors, reliability_score=0.92, avg_delivery_days=1.0",8,procurement_agent,pending
REC00095,reorder,P107,Soft Drink 1L,S1,high,Reorder 76 units.,Stock is below the reorder point after recent demand is considered.,"stock=20, reorder_threshold=20, supplier_name=Snacks & Beverages Hub, reliability_score=0.91, avg_delivery_days=3.0",76,procurement_agent,pending
REC00096,reorder,P109,Curd,S3,medium,Reorder 26 units.,Stock is below the reorder point after recent demand is considered.,"stock=15, reorder_threshold=15, supplier_name=Fresh Dairy Suppliers, reliability_score=0.95, avg_delivery_days=2.0",26,procurement_agent,pending
REC00097,reorder,P111,Cheese,S3,medium,Reorder 31 units.,Stock is below the reorder point after recent demand is considered.,"stock=18, reorder_threshold=20, supplier_name=Fresh Dairy Suppliers, reliability_score=0.95, avg_delivery_days=2.0",31,procurement_agent,pending
REC00098,reorder,P112,Bananas,S3,high,Reorder 25 units. Review supplier timing before placing the order.,Stock is below the reorder point and supplier risk may delay replenishment.,"stock=10, reorder_threshold=10, supplier_name=Farm Fresh Produce, reliability_score=0.88, avg_delivery_days=2.0",25,procurement_agent,pending
REC00099,reorder,P114,Tomatoes,S2,high,Reorder 3 units. Review supplier timing before placing the order.,Stock is below the reorder point and supplier risk may delay replenishment.,"stock=8, reorder_threshold=10, supplier_name=Farm Fresh Produce, reliability_score=0.88, avg_delivery_days=2.0",3,procurement_agent,pending
REC00100,reorder,P114,Tomatoes,S3,high,Reorder 6 units. Review supplier timing before placing the order.,Stock is below the reorder point and supplier risk may delay replenishment.,"stock=6, reorder_threshold=10, supplier_name=Farm Fresh Produce, reliability_score=0.88, avg_delivery_days=2.0",6,procurement_agent,pending
REC00101,reorder,P118,Ice Cream,S3,high,Reorder 30 units. Review supplier timing before placing the order.,Stock is below the reorder point and supplier risk may delay replenishment.,"stock=9, reorder_threshold=10, supplier_name=Frozen Foods Distributor, reliability_score=0.86, avg_delivery_days=5.0",30,procurement_agent,pending
